subid,fw_month,arr_odb,seats_odb
-1e6,2018-06-01,0,0
-1e6,2018-07-01,2916,10
-1e6,2018-08-01,2916,10
-1e6,2018-09-01,49587,11
-1e6,2018-10-01,49587,11
-1001,2018-03-01,122997,750
-1001,2018-04-01,122997,750
-1001,2018-05-01,122997,750
-1001,2018-06-01,122997,750
-1001,2018-07-01,122997,750
-1001,2018-08-01,122997,750
-1001,2018-09-01,122997,750
-1001,2018-10-01,122997,750
-1e3,2018-03-01,30997,123
-1e3,2018-04-01,30997,123
-1e3,2018-05-01,30997,124
-1e3,2018-06-01,30997,124
-1e3,2018-07-01,30997,124
-1e3,2018-08-01,30997,124
-1e3,2018-09-01,30997,124
-1e3,2018-10-01,30997,124
-501,2018-06-01,10195,25
-501,2018-07-01,10195,25
-501,2018-08-01,10195,25
-501,2018-09-01,10195,25
-501,2018-10-01,57316,135
-448,2016-09-01,57018,100
-448,2016-10-01,57018,100
-448,2016-11-01,57018,100
-448,2016-12-01,57018,100
-448,2017-01-01,57018,100
-448,2017-02-01,57018,100
-448,2017-03-01,57018,100
-448,2017-04-01,57018,100
-448,2017-05-01,57018,100
-448,2017-06-01,57018,100
-448,2017-07-01,57018,100
-448,2017-08-01,57018,100
-448,2017-09-01,57018,100
-448,2017-10-01,57018,100
-448,2017-11-01,57018,100
-448,2017-12-01,57018,100
-448,2018-01-01,57018,100
-448,2018-02-01,57018,100
-448,2018-03-01,57018,100
-448,2018-04-01,57018,100
-448,2018-05-01,57018,100
-448,2018-06-01,57018,100
-448,2018-07-01,57018,100
-448,2018-08-01,126147,350
-448,2018-09-01,126147,350
-448,2018-10-01,126147,350
-446,2016-07-01,14098,30
-446,2016-08-01,14098,30
-446,2016-09-01,14098,30
-446,2016-10-01,14098,30
-446,2016-11-01,14098,30
-446,2016-12-01,14098,30
-446,2017-01-01,14722,30
-446,2017-02-01,14722,30
-446,2017-03-01,14722,30
-446,2017-04-01,14722,30
-446,2017-05-01,14722,30
-446,2017-06-01,14722,30
-446,2017-07-01,14722,30
-446,2017-08-01,14722,30
-446,2017-09-01,14722,30
-446,2017-10-01,14098,30
-446,2017-11-01,14098,30
-446,2017-12-01,14098,30
-446,2018-01-01,14098,30
-446,2018-02-01,14098,30
-446,2018-03-01,14098,30
