ca_account_id,order_seqid,fw_month,arr_odb,seats_odb
A097024,40266597,2017-11-01,2829,5
A097024,40266597,2017-12-01,2829,5
A097024,40266597,2018-01-01,2829,5
A097024,40266597,2018-02-01,2829,5
A097024,40266597,2018-03-01,2829,5
A097024,40266597,2018-04-01,2829,5
A097024,40266597,2018-05-01,2829,5
A097024,40266597,2018-06-01,2829,5
A097024,40266597,2018-07-01,2829,5
A097024,40266597,2018-08-01,2829,5
A097024,40266597,2018-09-01,2829,5
A097024,40266597,2018-10-01,2829,5
A097375,40247482,2016-10-01,7938,18
A097375,40247482,2016-11-01,7938,18
A097375,40247482,2016-12-01,7938,18
A097375,40247482,2017-01-01,7938,18
A097375,40247482,2017-02-01,7938,18
A097375,40247482,2017-03-01,7938,18
A097375,40247482,2017-04-01,7938,18
A097375,40247674,2016-10-01,141120,320
A097375,40247674,2016-11-01,141120,320
A097375,40247674,2016-12-01,141120,320
A097375,40247674,2017-01-01,141120,320
A097375,40247674,2017-02-01,141120,320
A097375,40247674,2017-03-01,141120,320
A097375,40247674,2017-04-01,141120,320
A097375,40247811,2016-10-01,3213,0
A097375,40247811,2016-11-01,3213,0
A097375,40247811,2016-12-01,3213,0
A097375,40247811,2017-01-01,3213,0
A097375,40247811,2017-02-01,3213,0
A097375,40247811,2017-03-01,3213,0
A097375,40247811,2017-04-01,3213,0
A097375,40247992,2016-10-01,1530,2
A097375,40247992,2016-11-01,1530,2
A097375,40247992,2016-12-01,1530,2
A097375,40247992,2017-01-01,1530,2
A097375,40247992,2017-02-01,1530,2
A097375,40247992,2017-03-01,1530,2
A097375,40247992,2017-04-01,1530,2
A097375,40248040,2016-10-01,1764,4
A097375,40248040,2016-11-01,1764,4
A097375,40248040,2016-12-01,1764,4
A097375,40248040,2017-01-01,1764,4
A097375,40248040,2017-02-01,1764,4
A097375,40248040,2017-03-01,1764,4
A097375,40248040,2017-04-01,1764,4
A097375,40248074,2016-10-01,10143,23
A097375,40248074,2016-11-01,10143,23
A097375,40248074,2016-12-01,10143,23
A097375,40248074,2017-01-01,10143,23
A097375,40248074,2017-02-01,10143,23
A097375,40248074,2017-03-01,10143,23
A097375,40248074,2017-04-01,10143,23
A097375,40248243,2016-10-01,5733,13
A097375,40248243,2016-11-01,5733,13
A097375,40248243,2016-12-01,5733,13
A097375,40248243,2017-01-01,5733,13
A097375,40248243,2017-02-01,5733,13
A097375,40248243,2017-03-01,5733,13
A097375,40248243,2017-04-01,5733,13
A097375,40248332,2016-10-01,10269,22
A097375,40248332,2016-11-01,10269,22
A097375,40248332,2016-12-01,10269,22
A097375,40248332,2017-01-01,10269,22
A097375,40248332,2017-02-01,10269,22
