odbid,fw_month,arr_odb,seats_odb
-1000002,2018-09-01,46671,1
-1000002,2018-10-01,46671,1
-1000001,2018-07-01,2916,10
-1000001,2018-08-01,2916,10
-1000001,2018-09-01,2916,10
-1000001,2018-10-01,2916,10
-1001,2018-03-01,122997,750
-1001,2018-04-01,122997,750
-1001,2018-05-01,122997,750
-1001,2018-06-01,122997,750
-1001,2018-07-01,122997,750
-1001,2018-08-01,122997,750
-1001,2018-09-01,122997,750
-1001,2018-10-01,122997,750
-448,2016-09-01,57018,100
-448,2016-10-01,57018,100
-448,2016-11-01,57018,100
-448,2016-12-01,57018,100
-448,2017-01-01,57018,100
-448,2017-02-01,57018,100
-448,2017-03-01,57018,100
-448,2017-04-01,57018,100
-448,2017-05-01,57018,100
-448,2017-06-01,57018,100
-448,2017-07-01,57018,100
-448,2017-08-01,57018,100
-448,2017-09-01,57018,100
-448,2017-10-01,57018,100
-448,2017-11-01,57018,100
-448,2017-12-01,57018,100
-448,2018-01-01,57018,100
-448,2018-02-01,57018,100
-448,2018-03-01,57018,100
-448,2018-04-01,57018,100
-448,2018-05-01,57018,100
-448,2018-06-01,57018,100
-448,2018-07-01,57018,100
-448,2018-08-01,57018,100
-448,2018-09-01,57018,100
-448,2018-10-01,57018,100
-442,2016-06-01,30305,50
-442,2016-07-01,30305,50
-442,2016-08-01,30305,50
-442,2016-09-01,30305,50
-442,2016-10-01,30305,50
-442,2016-11-01,30305,50
-442,2016-12-01,30305,50
-442,2017-01-01,174867,400
-442,2017-02-01,174867,400
-442,2017-03-01,174867,400
-442,2017-04-01,174867,400
-442,2017-05-01,174867,400
-442,2017-06-01,174867,400
-442,2017-07-01,144562,350
-442,2017-08-01,144562,350
-442,2017-09-01,144562,350
-442,2017-10-01,144562,350
-442,2017-11-01,144562,350
-442,2017-12-01,144562,350
-442,2018-01-01,144562,350
-442,2018-02-01,144562,350
-442,2018-03-01,144562,350
-442,2018-04-01,144562,350
-442,2018-05-01,144562,350
-442,2018-06-01,144562,350
-442,2018-07-01,144562,350
-442,2018-08-01,144562,350
-442,2018-09-01,144562,350
-442,2018-10-01,144562,350
-434,2016-03-01,10242.5,50
-434,2016-04-01,10242.5,50
-434,2016-05-01,10242.5,50
-434,2016-06-01,10242.5,50
-434,2016-07-01,14067.5,70
-434,2016-08-01,14067.5,70
-434,2016-09-01,14067.5,70
-433,2016-03-01,11378.4,28
-433,2016-04-01,11378.4,28
-433,2016-05-01,11378.4,28
-433,2016-06-01,11378.4,28
-433,2016-07-01,11378.4,28
-433,2016-08-01,11378.4,28
-433,2016-09-01,11378.4,28
-433,2016-10-01,14906,38
-433,2016-11-01,14906,38
-433,2016-12-01,14906,38
-433,2017-01-01,14906,38
-433,2017-02-01,14906,38
-433,2017-03-01,7324,10
-433,2017-04-01,7324,10
-433,2017-05-01,7324,10
-433,2017-06-01,7324,10
-433,2017-07-01,7324,10
-433,2017-08-01,7324,10
-433,2017-09-01,7324,10
-433,2017-10-01,7324,10
-433,2017-11-01,7324,10
-433,2017-12-01,7324,10
-433,2018-01-01,7324,10
-433,2018-02-01,7324,10
-422,2015-08-01,6480,10
-422,2015-09-01,6480,10
-422,2015-10-01,6480,10
-422,2015-11-01,6480,10
-422,2015-12-01,6480,10
-422,2016-01-01,6480,10
-422,2016-02-01,6480,10
-422,2016-03-01,6480,10
-422,2016-04-01,6480,10
-422,2016-05-01,6480,10
-422,2016-06-01,6480,10
-422,2016-07-01,6480,10
-421,2015-07-01,13010,20
-421,2015-08-01,13010,20
-421,2015-09-01,13010,20
-421,2015-10-01,13010,20
-421,2015-11-01,13010,20
-421,2015-12-01,13010,20
-421,2016-01-01,8380,10
-421,2016-02-01,8380,10
-421,2016-03-01,8380,10
-421,2016-04-01,8380,10
-421,2016-05-01,8380,10
-421,2016-06-01,8380,10
-421,2016-07-01,13789.6,20
-421,2016-08-01,13789.6,20
-421,2016-09-01,13789.6,20
-421,2016-10-01,13790,20
-421,2016-11-01,13790,20
-421,2016-12-01,13790,20
-421,2017-01-01,13790,20
-421,2017-02-01,14260,20
-421,2017-03-01,21757,34
-421,2017-04-01,21757,34
-421,2017-05-01,21757,34
-421,2017-06-01,21757,34
-421,2017-07-01,21757,34
-421,2017-08-01,21757,34
-421,2017-09-01,21757,34
-421,2017-10-01,21757,34
-421,2017-11-01,21757,34
-421,2017-12-01,21757,34
-421,2018-01-01,21757,34
-418,2015-08-01,14500,25
-418,2015-09-01,14500,25
-418,2015-10-01,14500,25
-418,2015-11-01,14500,25
-418,2015-12-01,14500,25
-418,2016-01-01,14500,25
-418,2016-02-01,14500,25
-418,2016-03-01,14500,25
-418,2016-04-01,14500,25
-418,2016-05-01,14500,25
-418,2016-06-01,14500,25
-418,2016-07-01,14500,25
-418,2016-08-01,21150,35
-418,2016-09-01,21150,35
-418,2016-10-01,21150,35
-418,2016-11-01,21150,35
-418,2016-12-01,21150,35
-418,2017-01-01,21150,35
-418,2017-02-01,21150,35
-418,2017-03-01,21150,35
-418,2017-04-01,21150,35
-418,2017-05-01,21150,35
-418,2017-06-01,21150,35
-418,2017-07-01,21150,35
