focus_list,fw_month,n,seats,arr
0,2014-04-01,1104,117963,40.8320006
0,2014-05-01,1105,118537,41.10213426
0,2014-06-01,1099,118851,41.32087272
0,2014-07-01,1096,121251,41.716319060000004
0,2014-08-01,1090,121983,42.02752013
0,2014-09-01,1089,122209,42.3400669
0,2014-10-01,1084,122333,42.62115635
0,2014-11-01,1086,120689,42.26617018
0,2014-12-01,1083,121326,42.63685744
0,2015-01-01,1072,119169,42.6969842
0,2015-02-01,1058,118546,42.676835229999995
0,2015-03-01,1054,119984,43.118919240000004
0,2015-04-01,1052,123648,43.98586673
0,2015-05-01,1036,124197,44.268551560000006
0,2015-06-01,1037,124835,44.59126944
0,2015-07-01,1033,123157,43.79473113
0,2015-08-01,1027,123700,44.113591549999995
0,2015-09-01,1011,127998,44.49668975
0,2015-10-01,1005,128562,44.70809692
0,2015-11-01,995,128211,44.624136039999996
0,2015-12-01,982,130548,45.145627270000006
0,2016-01-01,970,130156,45.07330084
0,2016-02-01,963,130581,45.250734869999995
0,2016-03-01,953,131854,45.60721546
0,2016-04-01,941,132026,45.54662973
0,2016-05-01,932,137979,45.76502492
0,2016-06-01,918,142364,47.03080565
0,2016-07-01,905,142137,47.06448024
0,2016-08-01,896,141597,46.85686236
0,2016-09-01,891,143631,47.53432877
0,2016-10-01,805,128514,43.389448
0,2016-11-01,845,136399,46.534823
0,2016-12-01,844,137044,46.824999
0,2017-01-01,816,129166,44.511616
0,2017-02-01,791,127053,43.794592
0,2017-03-01,798,131681,45.740128
0,2017-04-01,768,130104,45.145559
0,2017-05-01,746,127431,44.293309
0,2017-06-01,734,128809,44.852601
0,2017-07-01,721,128408,44.709575
0,2017-08-01,701,126022,43.78443
0,2017-09-01,704,128884,44.906783
0,2017-10-01,683,128339,44.651638
0,2017-11-01,671,126216,43.811651
0,2017-12-01,667,127615,44.356034
0,2018-01-01,648,129915,44.478784
0,2018-02-01,631,128127,43.629066
0,2018-03-01,634,136756,45.620517
0,2018-04-01,611,135630,45.123704
0,2018-05-01,606,122491,44.366839
0,2018-06-01,615,137568,45.218049
0,2018-07-01,608,136173,44.576428
0,2018-08-01,604,135325,44.213174
0,2018-09-01,604,135340,44.152322
0,2018-10-01,575,132595,42.868722
1,2014-04-01,52,105023,25.27723285
1,2014-05-01,52,107917,26.20960173
1,2014-06-01,52,109068,26.722202420000002
1,2014-07-01,53,110673,27.183261429999998
1,2014-08-01,53,111308,27.316895640000002
1,2014-09-01,55,114364,28.00123435
1,2014-10-01,55,115611,28.36051707
1,2014-11-01,57,123751,29.478357940000002
1,2014-12-01,58,125936,29.82838697
1,2015-01-01,60,140972,32.30318934
1,2015-02-01,60,141158,32.394211739999996
1,2015-03-01,61,142411,32.896835
1,2015-04-01,62,151808,34.99584688
1,2015-05-01,62,153138,35.24129877
1,2015-06-01,62,153934,35.41109835
1,2015-07-01,63,172400,37.514221119999995
1,2015-08-01,66,174217,38.11455934000001
1,2015-09-01,66,174513,38.23315575
1,2015-10-01,67,179160,39.110666189999996
1,2015-11-01,67,180526,39.64292511
1,2015-12-01,68,187441,41.66587514
1,2016-01-01,68,194202,45.54239268
1,2016-02-01,69,194825,45.80849406
1,2016-03-01,72,200229,47.41766168
1,2016-04-01,72,189989,45.39691646
1,2016-05-01,72,193106,46.16417986
1,2016-06-01,74,196275,47.28613153
1,2016-07-01,77,196843,47.487407950000005
1,2016-08-01,77,199028,48.33835767
1,2016-09-01,78,205182,49.96211897
1,2016-10-01,80,200691,49.210062
1,2016-11-01,83,202017,49.776586
1,2016-12-01,84,221808,53.401942
1,2017-01-01,85,225182,51.786338
1,2017-02-01,80,221520,50.243456
1,2017-03-01,85,238088,56.116271
1,2017-04-01,86,241013,57.08678
1,2017-05-01,86,233667,54.919675
1,2017-06-01,87,239567,56.584095
1,2017-07-01,89,239817,57.273017
1,2017-08-01,88,240101,57.42361
1,2017-09-01,89,241759,58.052299
1,2017-10-01,90,243330,58.377971
1,2017-11-01,87,239494,57.210089
1,2017-12-01,91,250685,59.821977
1,2018-01-01,88,250345,59.151847
1,2018-02-01,89,251324,59.44444
1,2018-03-01,90,265956,62.290704
1,2018-04-01,90,265811,62.097033
1,2018-05-01,89,267706,62.239084
1,2018-06-01,89,271716,63.782606
1,2018-07-01,85,270835,63.358775
1,2018-08-01,82,265796,63.388826
1,2018-09-01,81,270449,63.422989
1,2018-10-01,80,262941,61.67368
