geo,fw_month,n,seats,arr
APJ,2014-04-01,24,9414,1.91923993
APJ,2014-05-01,24,9563,1.9836553300000002
APJ,2014-06-01,25,9684,2.0410735300000002
APJ,2014-07-01,27,9850,2.10819793
APJ,2014-08-01,27,9850,2.10819793
APJ,2014-09-01,28,10097,2.2193299300000002
APJ,2014-10-01,28,9698,2.12519743
APJ,2014-11-01,28,9889,2.21638783
APJ,2014-12-01,28,10150,2.32614162
APJ,2015-01-01,29,10872,2.58203382
APJ,2015-02-01,29,10712,2.5493938199999997
APJ,2015-03-01,29,10781,2.58264862
APJ,2015-04-01,29,12673,2.65405323
APJ,2015-05-01,29,13221,2.74796193
APJ,2015-06-01,30,13373,2.80440843
APJ,2015-07-01,30,13498,2.87026443
APJ,2015-08-01,31,13665,2.9552745299999996
APJ,2015-09-01,31,13873,3.0627315299999998
APJ,2015-10-01,32,13891,3.0879940500000003
APJ,2015-11-01,33,13906,3.1088785500000005
APJ,2015-12-01,35,14347,3.31615779
APJ,2016-01-01,36,16337,3.9312170899999996
APJ,2016-02-01,37,16360,3.94238909
APJ,2016-03-01,36,16387,3.9561070899999997
APJ,2016-04-01,37,16303,3.93318139
APJ,2016-05-01,40,20825,3.97844212
APJ,2016-06-01,40,20877,4.00937092
APJ,2016-07-01,40,20891,4.01583892
APJ,2016-08-01,41,21027,4.07650372
APJ,2016-09-01,41,21290,4.17388973
APJ,2016-10-01,39,20942,4.108929
APJ,2016-11-01,40,21077,4.175789
APJ,2016-12-01,40,21489,4.176502
APJ,2017-01-01,36,20951,3.957025
APJ,2017-02-01,34,17835,2.808653
APJ,2017-03-01,36,19436,3.439903
APJ,2017-04-01,34,19408,3.455313
APJ,2017-05-01,32,18553,3.243328
APJ,2017-06-01,31,18619,3.250107
APJ,2017-07-01,29,18917,3.251517
APJ,2017-08-01,29,18967,3.268518
APJ,2017-09-01,28,18976,3.276886
APJ,2017-10-01,28,18970,3.271967
APJ,2017-11-01,28,18931,3.25636
APJ,2017-12-01,28,18916,3.247944
APJ,2018-01-01,26,17096,2.681499
APJ,2018-02-01,27,16694,2.531741
APJ,2018-03-01,27,16699,2.532374
APJ,2018-04-01,27,16699,2.532374
APJ,2018-05-01,28,4340,1.957262
APJ,2018-06-01,30,16387,2.348191
APJ,2018-07-01,27,16136,2.241118
APJ,2018-08-01,28,16190,2.220303
APJ,2018-09-01,29,16194,2.223061
APJ,2018-10-01,28,16192,2.221885
EMEA,2014-04-01,107,12203,4.17620289
EMEA,2014-05-01,108,12748,4.3603920899999995
EMEA,2014-06-01,109,12556,4.28112372
EMEA,2014-07-01,110,13099,4.50037952
EMEA,2014-08-01,110,13085,4.49264723
EMEA,2014-09-01,110,13157,4.50397291
EMEA,2014-10-01,114,13524,4.6432679299999995
