fw_month,start_dt,end_dt,n,cohort_n,cust_land,cust_xpand,cust_decl,cust_term,cust_lost10,p_cust_xpand,avg_arr_xpand,p_cust_decl,avg_arr_decl,agg_seats_begin,agg_seats_end,agg_seats_lost,agg_seats_dg,agg_seats_term,agg_seats_add,agg_seats_xpand,agg_seats_land,agg_seats_netren,agg_arr_begin,agg_arr_end,agg_arr_lost,agg_arr_dg,agg_arr_term,agg_arr_add,agg_arr_xpand,agg_arr_land,agg_arr_netren,churn_seats,p_seats_retain,p_seats_xpand,churn_seats_term,churn_seats_dg,churn_arr,p_arr_retain,p_arr_xpand,churn_arr_term,churn_arr_dg,churn_cust_10seat,net_renew_seats,net_renew_arr,fy,month
2014-03-01,2014-03-01,2014-03-01,1167,1162,0,0,0,0,0,0,NaN,0,NaN,211165,211165,0,0,0,0,0,0,211165,63.326,63.326,0,0,0,0,0,0,63.326,0,1,0,0,0,0,1,0,0,0,0,1,1,2015,0
2014-03-01,2014-03-01,2014-04-01,1187,1162,18,106,69,35,28,0.091,34,0.059,14.5,211165,222986,2433,1169,1264,14254,13795,459,222527,63.326,66.109,1.003,0.478,0.525,3.786,3.605,0.182,65.928,0.012,0.988,0.065,0.006,0.006,0.016,0.984,0.057,0.008,0.008,0.029,1.054,1.041,2015,1
2014-03-01,2014-03-01,2014-05-01,1209,1162,40,157,119,56,45,0.135,32.1,0.102,12.3,211165,226454,3661,1586,2075,18950,18011,939,225515,63.326,67.312,1.469,0.632,0.837,5.454,5.035,0.419,66.893,0.017,0.983,0.085,0.01,0.008,0.023,0.977,0.08,0.013,0.01,0.047,1.068,1.056,2015,2
2014-03-01,2014-03-01,2014-06-01,1224,1162,55,207,160,77,64,0.178,30,0.138,12.8,211165,227919,4980,2337,2643,21734,20507,1227,226692,63.326,68.043,2.046,0.971,1.075,6.763,6.205,0.558,67.485,0.024,0.976,0.097,0.013,0.011,0.032,0.968,0.098,0.017,0.015,0.066,1.074,1.066,2015,3
2014-03-01,2014-03-01,2014-07-01,1253,1162,85,256,213,108,85,0.22,30.4,0.183,15.1,211165,231924,6673,3251,3422,27432,25168,2264,229660,63.326,68.9,3.218,1.853,1.364,8.791,7.789,1.002,67.898,0.032,0.968,0.119,0.016,0.015,0.051,0.949,0.123,0.022,0.029,0.088,1.088,1.072,2015,4
2014-03-01,2014-03-01,2014-08-01,1264,1162,95,282,244,125,97,0.243,29.6,0.21,14.2,211165,233291,7264,3413,3851,29390,26734,2656,230635,63.326,69.344,3.476,1.946,1.53,9.495,8.344,1.15,68.194,0.034,0.966,0.127,0.018,0.016,0.055,0.945,0.132,0.024,0.031,0.101,1.092,1.077,2015,5
2014-03-01,2014-03-01,2014-09-01,1284,1162,115,308,285,144,113,0.265,31.7,0.245,15.4,211165,236573,9809,4249,5560,35217,31486,3731,232842,63.326,70.341,4.38,2.27,2.11,11.395,9.765,1.63,68.712,0.046,0.954,0.149,0.026,0.02,0.069,0.931,0.154,0.033,0.036,0.117,1.103,1.085,2015,6
2014-03-01,2014-03-01,2014-10-01,1302,1162,133,347,319,167,132,0.299,31.3,0.275,16.6,211165,237944,12336,5631,6705,39115,34432,4683,233261,63.326,70.982,5.285,2.686,2.599,12.941,10.847,2.093,68.888,0.058,0.942,0.163,0.032,0.027,0.083,0.917,0.171,0.041,0.042,0.137,1.105,1.088,2015,7
2014-03-01,2014-03-01,2014-11-01,1315,1162,146,363,340,176,139,0.312,31.6,0.293,18.2,211165,244440,15314,8222,7092,48589,39982,8607,235833,63.326,71.745,6.18,3.435,2.744,14.598,11.474,3.124,68.62,0.073,0.927,0.189,0.034,0.039,0.098,0.902,0.181,0.043,0.054,0.144,1.117,1.084,2015,8
2014-03-01,2014-03-01,2014-12-01,1333,1162,164,383,377,196,157,0.33,33.2,0.324,19.7,211165,247262,18037,10596,7441,54134,43508,10626,236636,63.326,72.465,7.446,4.564,2.882,16.585,12.702,3.882,68.583,0.085,0.915,0.206,0.035,0.05,0.118,0.882,0.201,0.046,0.072,0.163,1.121,1.083,2015,9
2014-03-01,2014-03-01,2015-01-01,1354,1162,185,391,425,226,178,0.336,40.2,0.366,20.7,211165,260141,23288,11805,11483,72264,59742,12522,247619,63.326,75,8.78,4.377,4.404,20.454,15.728,4.727,70.274,0.11,0.89,0.283,0.054,0.056,0.139,0.861,0.248,0.07,0.069,0.185,1.173,1.11,2015,10
2014-03-01,2014-03-01,2015-02-01,1358,1162,189,399,450,244,190,0.343,40.4,0.387,20.4,211165,259704,24310,12244,12066,72849,60164,12685,247019,63.326,75.071,9.171,4.518,4.654,20.916,16.111,4.805,70.266,0.115,0.885,0.285,0.057,0.058,0.145,0.855,0.254,0.073,0.071,0.197,1.17,1.11,2015,11
2014-03-01,2014-03-01,2015-03-01,1381,1162,211,406,485,271,212,0.349,41.8,0.417,20.1,211165,262395,25832,12907,12925,77062,62707,14355,248040,63.326,76.016,9.728,4.718,5.01,22.418,16.977,5.441,70.575,0.122,0.878,0.297,0.061,0.061,0.154,0.846,0.268,0.079,0.075,0.22,1.175,1.114,2015,12
2015-03-01,2015-03-01,2015-03-01,1110,1102,0,0,0,0,0,0,NaN,0,NaN,262395,262395,0,0,0,0,0,0,262395,76.016,76.016,0,0,0,0,0,0,76.016,0,1,0,0,0,0,1,0,0,0,0,1,1,2016,0
