odbid,start_date,max_seats,max_arr
-1000002,2018-09-01,1,46671
-1000001,2018-07-01,10,2916
-1000000,2018-06-01,0,0
-1001,2018-03-01,750,122997
-448,2016-09-01,350,126147
-442,2016-06-01,400,174867
-434,2016-03-01,70,14067.5
-433,2016-03-01,38,14906
-422,2015-08-01,10,6480
-421,2015-07-01,34,21757
-418,2015-08-01,35,21820
-414,2015-06-01,85,44608
-407,2015-03-01,450,138892
-405,2015-04-01,125,57845
-400,2014-10-01,5,3240
-303,2012-02-01,160,26984.38
-294,2014-07-01,25,5e3
-281,2014-02-01,50,24723
-276,2014-01-01,40,23418
-274,2013-10-01,10,6700
-273,2013-12-01,50,27912.5
-267,2013-06-01,25,15480
-266,2013-06-01,50,20562.5
-263,2013-05-01,53,9698
-246,2012-12-01,20,12960
-245,2013-01-01,100,56577.5
-244,2012-12-01,560,116555
-243,2012-12-01,55,30915
-241,2013-01-01,2e3,507626
-240,2012-11-01,25,15480
-239,2013-02-01,35,19260
-235,2012-07-01,150,21639.99
-230,2012-08-01,25,14190
-229,2012-05-01,50,27912.5
-227,2012-05-01,245,37374
-223,2012-08-01,925,113059
-222,2012-04-01,12e3,482600.03
-218,2012-01-01,102,53314.1
-215,2012-01-01,75,11488.13
-213,2011-12-01,198,30846.27
-211,2011-12-01,286,90520
-210,2011-12-01,35,4657.56
-206,2011-10-01,240,33525
-205,2011-10-01,50,7263
-199,2011-09-01,40,16817.25
-198,2011-09-01,25,15480
-195,2011-12-01,900,57780
-179,2011-07-01,550,61125
-176,2011-06-01,368,44443
-173,2011-04-01,300,152440
-170,2011-03-01,30,3644.98
-162,2010-12-01,50,8134.36
-151,2010-07-01,400,178275
-149,2010-07-01,500,38924.95
-141,2010-03-01,220,29588.73
-139,2010-02-01,25,10500
-134,2009-12-01,425,194937.5
-133,2009-12-01,25,9187.5
-131,2009-12-01,2975,199100.04
-127,2009-08-01,50,18375
-123,2009-03-01,125,43312.5
-122,2009-05-01,100,49612.5
-119,2009-01-01,189,17310.51
-106,2008-03-01,230,101115
-104,2007-12-01,50,19305
-102,2007-04-01,75,48262.5
202,2004-07-01,36,14987.14
207,2004-09-01,5,1494.99
210,2004-10-01,41,28782
222,2005-07-01,10,7800
226,2004-08-01,49,25210.5
232,2004-09-01,12,6954.99
234,2005-09-01,30,18606.63
236,2004-10-01,12,9360
238,2004-11-01,15,11700.05
240,2005-01-01,32,20468.33
242,2005-01-01,20,13806
243,2004-12-01,12,9360
248,2005-01-01,236,106310.4
251,2005-01-01,13,10140
257,2005-05-01,30,21060
259,2005-02-01,21,16380
261,2005-02-01,5,3500
263,2005-03-01,9,6620
264,2005-03-01,2,1560
268,2005-03-01,5,3500
270,2005-03-01,105,50935.5
272,2005-03-01,19,13790
273,2005-04-01,50,27378
275,2005-04-01,20,15200
290,2005-06-01,18,9828
291,2005-08-01,18,12986.11
292,2005-06-01,14,10920
293,2005-06-01,10,7400
297,2005-05-01,46,31395
299,2005-06-01,9,6620
300,2005-08-01,40,19980
301,2005-06-01,5,3900
302,2005-06-01,11,8179.98
303,2005-06-01,1,780
304,2005-06-01,135,89505.14
306,2005-06-01,20,13040
312,2005-06-01,10,7399.99
323,2005-07-01,10,7800
325,2005-12-01,25,18525
326,2005-10-01,5,3900
328,2005-07-01,5,3500
329,2005-09-01,5,3900
330,2005-07-01,6,4680
339,2005-08-01,10,7010.68
340,2005-08-01,35,24686.11
342,2005-08-01,5,3500
345,2005-09-01,16,10320
347,2005-09-01,39,16380
