oli_seqid,cust_seqid,parent_cust_seqid,subid,odbid,order_seqid,oli_unit_monthly_net,oli_qty,order_bridge,focus_list,order_util,sku,sku_family,sku_arr,sku_base,sku_fee,sku_active,sku_subscription,sku_perpetual,sku_maint,sku_host,sku_ondemand,sku_onprem,sord,oli_start_dt,oli_end_dt,oli_mbg_dt,rep_supercede_dt,mbg_cancel_dt,non_renew_dt,oli_mct_dt,arr_odb,seats_odb,start_month,oli_start,end_month,ca_account_id,ca_account_name,end_user_ca_account_id,end_user_ca_account_name,geo,operating_area,sales_region,territory,account_segment,currency_code
30756,70031,70031,70031,70031,40233147,,20,0,0,0,AGCUUE990,UE,0,0,0,0,1,0,0,0,1,0,42432,42432,42797,,,,,,0,0,42644,42430,42795,LR50481,"Grupo Globo (TV, Radio, Editora e Filmes, Globosat, Infoglobo, Som Livre,ZAP)",,,LA,BRAZIL,BRAZIL - ENTERPRISE,BRAZIL - ENTERPRISE,Gold,BRL
30757,70031,70031,70031,70031,40233147,,20,0,0,0,AGCUNL990,UE,1,1,0,1,1,0,0,0,1,0,42432,42432,42797,,,,,,0,20,42644,42430,42795,LR50481,"Grupo Globo (TV, Radio, Editora e Filmes, Globosat, Infoglobo, Som Livre,ZAP)",,,LA,BRAZIL,BRAZIL - ENTERPRISE,BRAZIL - ENTERPRISE,Gold,BRL
30758,-222,-222,-222,-222,40239818,,0,0,0,0,ACNUUE990,UE,0,0,0,0,0,1,0,0,0,1,42495,42495,42855,,,,,,0,0,42644,42491,42826,AR50868,HUAWEI TECHNOLOGIES,,,APJ,GREATER CHINA,CHINA,CHINA,Commercial,CNY
30759,-222,-222,-222,-222,40239818,,0,0,0,0,ACNUNL990,UE,1,1,0,1,0,1,1,0,0,1,42495,42495,42855,,,,,,0,0,42644,42491,42826,AR50868,HUAWEI TECHNOLOGIES,,,APJ,GREATER CHINA,CHINA,CHINA,Commercial,CNY
30760,-222,-222,-222,-222,40239818,,0,0,0,0,ACNUUE990,UE,0,0,0,0,0,1,0,0,0,1,42495,42495,42855,,,,,,0,0,42644,42491,42826,AR50868,HUAWEI TECHNOLOGIES,,,APJ,GREATER CHINA,CHINA,CHINA,Commercial,CNY
30761,-222,-222,-222,-222,40239818,,4400,0,0,0,ACNUNL990,UE,1,1,0,1,0,1,1,0,0,1,42495,42495,42855,,,,,,476571,4400,42644,42491,42826,AR50868,HUAWEI TECHNOLOGIES,,,APJ,GREATER CHINA,CHINA,CHINA,Commercial,CNY
30762,-222,-222,-222,-222,40239818,,0,0,0,0,ACNUNL990,UE,1,1,0,1,0,1,1,0,0,1,42495,42495,42855,,,,,,0,0,42644,42491,42826,AR50868,HUAWEI TECHNOLOGIES,,,APJ,GREATER CHINA,CHINA,CHINA,Commercial,CNY
30763,-222,-222,-222,-222,40239818,,0,0,0,0,ACNUUE990,UE,0,0,0,0,0,1,0,0,0,1,42495,42495,42855,,,,,,0,0,42644,42491,42826,AR50868,HUAWEI TECHNOLOGIES,,,APJ,GREATER CHINA,CHINA,CHINA,Commercial,CNY
30764,-222,-222,-222,-222,40239819,,0,0,0,0,ACNUUE990,UE,0,0,0,0,0,1,0,0,0,1,42495,42495,42855,,,,,,0,0,42644,42491,42826,AR50868,HUAWEI TECHNOLOGIES,,,APJ,GREATER CHINA,CHINA,CHINA,Commercial,CNY
30765,-222,-222,-222,-222,40239819,,0,0,0,0,ACNUUE990,UE,0,0,0,0,0,1,0,0,0,1,42495,42495,42855,,,,,,0,0,42644,42491,42826,AR50868,HUAWEI TECHNOLOGIES,,,APJ,GREATER CHINA,CHINA,CHINA,Commercial,CNY
30766,-222,-222,-222,-222,40239819,,7600,0,0,0,ACNUNL990,UE,1,1,0,1,0,1,1,0,0,1,42495,42495,42855,,,,,,0,7600,42644,42491,42826,AR50868,HUAWEI TECHNOLOGIES,,,APJ,GREATER CHINA,CHINA,CHINA,Commercial,CNY
30767,-222,-222,-222,-222,40239819,,0,0,0,0,ACNUNL990,UE,1,1,0,1,0,1,1,0,0,1,42495,42495,42855,,,,,,0,0,42644,42491,42826,AR50868,HUAWEI TECHNOLOGIES,,,APJ,GREATER CHINA,CHINA,CHINA,Commercial,CNY
30768,58565,7000269,58565,7000269,40241427,,0,0,0,0,AGCUUE990,UE,0,0,0,0,1,0,0,0,1,0,42559,42559,42916,,,,,,0,0,42644,42552,42887,A124967,"Queensland Department of Agriculture, Fisheries and Forestry",,,APJ,ANZ,AUSTRALIA,AUS North,Commercial,AUD
30769,58565,7000269,58565,7000269,40241427,,0,0,0,0,AGCUNL990,UE,1,1,0,1,1,0,0,0,1,0,42559,42559,42916,,,,,,0,0,42644,42552,42887,A124967,"Queensland Department of Agriculture, Fisheries and Forestry",,,APJ,ANZ,AUSTRALIA,AUS North,Commercial,AUD
30770,58565,7000269,58565,7000269,40241427,,300,0,0,0,AGCUUE990,UE,0,0,0,0,1,0,0,0,1,0,42559,42559,42916,,,,,,0,0,42644,42552,42887,A124967,"Queensland Department of Agriculture, Fisheries and Forestry",,,APJ,ANZ,AUSTRALIA,AUS North,Commercial,AUD
30771,58565,7000269,58565,7000269,40241427,,300,0,0,0,AGCUNL990,UE,1,1,0,1,1,0,0,0,1,0,42559,42559,42916,,,,,,134946,300,42644,42552,42887,A124967,"Queensland Department of Agriculture, Fisheries and Forestry",,,APJ,ANZ,AUSTRALIA,AUS North,Commercial,AUD
30772,83766,83766,83766,83766,40241837,,20,0,0,0,AGCUUE990,UE,0,0,0,0,1,0,0,0,1,0,42551,42551,42915,,,,,,0,0,42644,42522,42887,W097003,Capgemini (North America)- Renewals Only,,,NAmer,NA_HQ,NA_HQ,NA_HQ,Commercial,USD
30773,83766,83766,83766,83766,40241837,,20,0,0,0,AGCUNL990,UE,1,1,0,1,1,0,0,0,1,0,42551,42551,42915,,,,,,11172,20,42644,42522,42887,W097003,Capgemini (North America)- Renewals Only,,,NAmer,NA_HQ,NA_HQ,NA_HQ,Commercial,USD
30774,73563,73563,73563,73563,40242302,,300,0,1,0,AGCUNL990,UE,1,1,0,1,1,0,0,0,1,0,42551,42551,43645,,,,,,0,300,42644,42522,43617,ER49436,Kmd Equity Holding A/S,,,EMEA,NTH,DENMARK,DENMARK,Platinum,DKK
30775,73563,73563,73563,73563,40242302,,150,0,1,0,AGCUNL990,UE,1,1,0,1,1,0,0,0,1,0,42551,42551,43645,,,,,,53846,150,42644,42522,43617,ER49436,Kmd Equity Holding A/S,,,EMEA,NTH,DENMARK,DENMARK,Platinum,DKK
30776,73563,73563,73563,73563,40242302,,250,0,1,0,AGCUNL990,UE,1,1,0,1,1,0,0,0,1,0,42551,42551,43645,,,,,,89744,250,42644,42522,43617,ER49436,Kmd Equity Holding A/S,,,EMEA,NTH,DENMARK,DENMARK,Platinum,DKK
30777,73563,73563,73563,73563,40242302,,350,0,1,0,AGCUNL990,UE,1,1,0,1,1,0,0,0,1,0,42551,42551,43645,,,,,,125641,350,42644,42522,43617,ER49436,Kmd Equity Holding A/S,,,EMEA,NTH,DENMARK,DENMARK,Platinum,DKK
30778,73563,73563,73563,73563,40242302,,150,0,1,0,AGCUNL990,UE,1,1,0,1,1,0,0,0,1,0,42551,42551,43645,,,,,,53846,150,42644,42522,43617,ER49436,Kmd Equity Holding A/S,,,EMEA,NTH,DENMARK,DENMARK,Platinum,DKK
30779,73563,73563,73563,73563,40242302,,250,0,1,0,AGCUNL990,UE,1,1,0,1,1,0,0,0,1,0,42551,42551,43645,,,,,,89744,250,42644,42522,43617,ER49436,Kmd Equity Holding A/S,,,EMEA,NTH,DENMARK,DENMARK,Platinum,DKK
30780,73563,73563,73563,73563,40242302,,150,0,1,0,AGCUNL990,UE,1,1,0,1,1,0,0,0,1,0,42551,42551,43645,,,,,,53846,150,42644,42522,43617,ER49436,Kmd Equity Holding A/S,,,EMEA,NTH,DENMARK,DENMARK,Platinum,DKK
30781,73563,73563,73563,73563,40242302,,100,0,1,0,AGCUNL990,UE,1,1,0,1,1,0,0,0,1,0,42551,42551,43645,,,,,,35897,100,42644,42522,43617,ER49436,Kmd Equity Holding A/S,,,EMEA,NTH,DENMARK,DENMARK,Platinum,DKK
30782,73563,73563,73563,73563,40242302,,125,0,1,0,AGCUNL990,UE,1,1,0,1,1,0,0,0,1,0,42551,42551,43645,,,,,,44872,125,42644,42522,43617,ER49436,Kmd Equity Holding A/S,,,EMEA,NTH,DENMARK,DENMARK,Platinum,DKK
30783,73563,73563,73563,73563,40242302,,200,0,1,0,AGCUNL990,UE,1,1,0,1,1,0,0,0,1,0,42551,42551,43645,,,,,,71795,200,42644,42522,43617,ER49436,Kmd Equity Holding A/S,,,EMEA,NTH,DENMARK,DENMARK,Platinum,DKK
30784,73563,73563,73563,73563,40242302,,125,0,1,0,AGCUNL990,UE,1,1,0,1,1,0,0,0,1,0,42551,42551,43645,,,,,,44872,125,42644,42522,43617,ER49436,Kmd Equity Holding A/S,,,EMEA,NTH,DENMARK,DENMARK,Platinum,DKK
30785,73563,73563,73563,73563,40242302,,150,0,1,0,AGCUNL990,UE,1,1,0,1,1,0,0,0,1,0,42551,42551,43645,,,,,,53846,150,42644,42522,43617,ER49436,Kmd Equity Holding A/S,,,EMEA,NTH,DENMARK,DENMARK,Platinum,DKK
30786,73563,73563,73563,73563,40242302,,300,0,1,0,ACNUUE990,UE,0,0,0,0,0,1,0,0,0,1,42551,42551,43645,,,,,,0,0,42644,42522,43617,ER49436,Kmd Equity Holding A/S,,,EMEA,NTH,DENMARK,DENMARK,Platinum,DKK
30787,73563,73563,73563,73563,40242302,,300,0,1,0,ACNUNL990,UE,1,1,0,1,0,1,1,0,1,0,42551,42551,43645,,,,,,0,300,42644,42522,43617,ER49436,Kmd Equity Holding A/S,,,EMEA,NTH,DENMARK,DENMARK,Platinum,DKK
30788,85986,7000314,85986,7000314,40242987,,58,0,1,0,AGCUNL990,UE,1,1,0,1,1,0,0,0,1,0,42583,42583,42947,,,,,,33030,58,42644,42583,42917,LR49279,Empresas Juan Yarur S.A.C.,,,LA,ANDEAN,ANDEAN - SOUTH,CHILE,Gold,USD
30789,85986,7000314,85986,7000314,40242987,,58,0,1,0,AGCUUE990,UE,0,0,0,0,1,0,0,0,1,0,42583,42583,42947,,,,,,0,0,42644,42583,42917,LR49279,Empresas Juan Yarur S.A.C.,,,LA,ANDEAN,ANDEAN - SOUTH,CHILE,Gold,USD
30790,4088,7000094,4088,7000094,40243399,,1500,0,0,0,AGUEPT990,UE Partner,1,1,0,1,1,0,0,0,1,0,42585,42585,43677,,,,,,162000,1500,42644,42583,43647,N118882,"Guidewire Software, Inc.",,,NAmer,NA_WEST,NA_WEST,NA_WEST_NORCAL,Commercial,USD
30791,81807,81807,81807,81807,40244723,,0,0,0,0,AGCEEE990,EE,1,1,0,1,1,0,0,0,1,0,42642,42642,43006,,,,,,0,0,42644,42614,42979,ER50599,Department of Transport,,,EMEA,NTH,UKI,UK,Gold,GBP
30792,81807,81807,81807,81807,40244723,,33,0,0,0,AGCEEE990,EE,1,1,0,1,1,0,0,0,1,0,42642,42642,43006,,,,,,12936,33,42644,42614,42979,ER50599,Department of Transport,,,EMEA,NTH,UKI,UK,Gold,GBP
30793,-448,-448,-448,-448,40245429,,100,0,1,0,ACULTE990,UE,1,1,0,1,1,0,0,0,0,1,42643,42644,43738,,,,,,57018,100,42644,42614,43709,LR50396,ICBC- Industrial and Comercial Bank of China ( former Standard Bank),,,LA,ANDEAN,ANDEAN - SOUTH,ARGENTINA,Gold,USD
30794,-448,-448,-448,-448,40245429,,0,0,1,0,ACULTE990,UE,1,1,0,1,1,0,0,0,0,1,42643,42644,43738,,,,,,0,0,42644,42614,43709,LR50396,ICBC- Industrial and Comercial Bank of China ( former Standard Bank),,,LA,ANDEAN,ANDEAN - SOUTH,ARGENTINA,Gold,USD
30795,5703,5703,5703,5703,40246370,,5,0,0,0,AGCUNL990,UE,1,1,0,1,1,0,0,0,1,0,41789,41791,42886,,,,,,2734,5,42644,41760,42856,N122485,Sleep Care Inc,,,NAmer,NA_NE,NA_NE,NA_NE_OHIO-PA,Commercial,USD
30796,5935,5935,5935,5935,40246371,,10,0,0,0,AGCEEE990,EE,1,1,0,1,1,0,0,0,1,0,41778,41821,42916,,,,,,3864,10,42644,41760,42887,N122452,"Vorne Industries, Inc.",,,NAmer,NA_CEN,NA_CEN,NA_CEN_MIDWEST,Commercial,USD
30797,54683,54683,54683,54683,40246372,,53,0,0,0,AGCUNL990,UE,1,1,0,1,1,0,0,0,1,0,41821,41852,42947,,,,,,24931,53,42644,41821,42917,A126649,QSR International,,,APJ,ANZ,AUSTRALIA,AUS South,Commercial,USD
